time,eptot,ektot,etot,temp,pres,volume,density,rmsd
780.0,-108035.8487,22838.709,-85197.1397,300.48,139.7,361070.1222,1.044,1.4024
790.0,-107808.8883,22734.6445,-85074.2438,299.11,241.6,361795.5952,1.042,1.404
800.0,-107877.6994,22674.5176,-85203.1818,298.32,-178.1,361593.5412,1.0425,1.403
810.0,-108016.6627,22886.6074,-85130.0553,301.11,38.2,361939.0547,1.0415,1.4282
820.0,-108003.3917,22923.7383,-85079.6534,301.6,-234.0,361187.0104,1.0437,1.2649
830.0,-107734.9285,22704.4395,-85030.489,298.71,60.6,361910.8851,1.0416,1.3455
840.0,-107937.9165,22791.75,-85146.1665,299.86,-301.8,361563.5023,1.0426,1.3389
850.0,-107914.0598,22741.2383,-85172.8215,299.19,-4.0,361758.574,1.0421,1.5447
860.0,-108183.1681,22635.9473,-85547.2208,297.81,87.2,361196.1299,1.0437,1.4992
870.0,-107714.5839,22712.5,-85002.0839,298.82,-199.6,361791.011,1.042,1.4212
880.0,-107625.3439,22689.3809,-84935.963,298.51,-100.0,361761.9498,1.042,1.389
890.0,-108121.253,22806.252,-85315.001,300.05,-179.6,361588.9748,1.0425,1.5058
900.0,-107932.1788,22941.4453,-84990.7335,301.83,-260.1,361731.8907,1.0421,1.6067
910.0,-107950.7357,22816.5215,-85134.2143,300.19,-19.5,361513.9992,1.0428,1.6693
920.0,-107935.0805,22746.7246,-85188.3559,299.27,-185.9,361557.5438,1.0426,1.7608
930.0,-108019.1155,22676.3262,-85342.7893,298.34,180.7,361169.856,1.0438,1.5663
940.0,-107802.7153,22818.1973,-84984.518,300.21,-147.7,361370.0939,1.0432,1.5958
950.0,-107826.5723,22841.123,-84985.4493,300.51,-125.6,361635.2683,1.0424,1.6343
960.0,-108084.9745,22592.3848,-85492.5897,297.24,99.2,361761.3015,1.0421,1.8939
970.0,-108082.678,22860.9902,-85221.6878,300.77,-97.7,361127.799,1.0439,1.6831
980.0,-107861.4679,22888.5684,-84972.8996,301.13,218.7,361661.4479,1.0423,1.7116
990.0,-108014.3274,22883.1992,-85131.1282,301.06,-243.4,361129.9632,1.0439,1.6856
1000.0,-108389.3849,22682.8809,-85706.504,298.43,-39.0,361111.9806,1.0439,1.5659
1010.0,-107961.2135,22720.0723,-85241.1412,298.92,-43.2,360985.3594,1.0443,1.5644
1020.0,-107937.2343,22699.957,-85237.2773,298.65,65.4,362090.8059,1.0411,1.7785
1030.0,-107911.5361,22881.8438,-85029.6923,301.04,123.4,361336.4437,1.0433,1.6869
1040.0,-107742.053,22952.334,-84789.719,301.97,118.7,362014.7748,1.0413,1.9493
1050.0,-108235.1676,22759.8516,-85475.316,299.44,339.0,361656.3167,1.0424,1.9098
1060.0,-108026.5742,22668.0645,-85358.5097,298.23,22.9,361538.9856,1.0427,1.7156
